timestamp,event,page,props_json
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 33}"
,page_view,PDF_Setup,"{""has_existing_config"": true}"
,compare_clicked,Compare,"{""object_id_a"": ""SK-C-5"", ""object_id_b"": ""SK-A-2344""}"
,page_view,Statistics,{}
,compare_clicked,Compare,"{""object_id_a"": ""SK-C-5"", ""object_id_b"": ""SK-A-2344""}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 108}"
,page_view,Statistics,{}
,search_executed,Explorer,"{""query_sample"": ""Frans"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 22}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-3753"", ""artist"": ""Adam Frans van der Meulen"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-1014"", ""artist"": ""Frans Arnold Breuhaus de Groot"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-133"", ""artist"": ""Frans Hals"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-135"", ""artist"": ""Frans Hals (signed by artist)"", ""source"": ""Explorer""}"
,page_view,Statistics,{}
,page_view,Statistics,{}
,page_view,PDF_Setup,{}
,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1849"", ""object_id_b"": ""SK-A-3452""}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 112}"
,page_view,Statistics,{}
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 112}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct + Attributed (recommended)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 71}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 112}"
,search_executed,Explorer,"{""query_sample"": ""monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct + Attributed (recommended)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 3}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-2933"", ""artist"": ""Claude Monet"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-3680"", ""artist"": ""Jacob Maris (vermeld op object)"", ""source"": ""Explorer""}"
,note_saved,My_Selection,"{""object_id"": ""RP-F-2001-7-780-4"", ""note_len"": 15}"
,search_executed,Explorer,"{""query_sample"": ""Raphael"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct + Attributed (recommended)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 29}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-4199"", ""artist"": ""Anton Raphael Mengs"", ""source"": ""Explorer""}"
,search_executed,Explorer,"{""query_sample"": ""Raphael"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Raphael"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct + Attributed (recommended)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 29}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 95}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 2}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 2}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct + Attributed (recommended)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 3}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Include workshop/circle/after"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Include workshop/circle/after"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Frans"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Include workshop/circle/after"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Include workshop/circle/after"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Include workshop/circle/after"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 94}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 60, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 60, ""filtered_count"": 60}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 60, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 60, ""filtered_count"": 60}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 60, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 94}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 94}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 94}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-1935"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-4717"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 96}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Claude Monet"", ""query_length"": 12, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 3, ""filtered_count"": 3}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 96}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 96}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 96}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 90}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Veermer"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Vermeer"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 75, ""filtered_count"": 29}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-2652"", ""artist"": ""Airs and Graces, Opus CX"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-690"", ""artist"": ""A Writer Trimming his Pen"", ""source"": ""Explorer""}"
,selection_remove_item,Explorer,"{""object_id"": ""SK-A-690"", ""artist"": ""A Writer Trimming his Pen"", ""source"": ""Explorer""}"
,selection_add_item,Explorer,"{""object_id"": ""SK-A-690"", ""artist"": ""A Writer Trimming his Pen"", ""source"": ""Explorer""}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 98}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 98}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 5}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 79}"
,search_executed,Explorer,"{""query_sample"": ""Post"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 90, ""filtered_count"": 64}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 4}"
,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 98}"
,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 90, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 4}"
